Date/Time,Misc_Loads:InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Res_lighting:InteriorLights:Electricity [J](Hourly),NonRes_lighting:InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Appliances:InteriorEquipment:Electricity [J](Hourly) ,DHW:NaturalGas [J](Hourly) 
 02/02  11:00:00,24902354.72,73235658.14,18175584.49,5669272.33,2571451.336,163187.8432,868616.8812,18257.93568,20866932.51,20866932.51
 02/02  12:00:00,25481479.25,73684692.65,17471773.1,5449741.649,2470903.194,231329.6731,335951.2093,13344.27323,22230170.31,22230170.31
 02/02  13:00:00,26060603.77,73492508.6,16963779.47,5291289.843,2398330.036,271779.9063,386590.2642,15402.93461,22104731.35,22104731.35
 02/02  14:00:00,26060603.77,70637385.48,16814294.9,5244663.075,2376974.32,309525.8457,41397.19776,11920.56289,19778005.76,19778005.76
 02/02  15:00:00,25481479.25,70650178.42,17017381.44,5308009.202,2391313.391,990144.9747,0,31432.32006,19430417.82,19430417.82
 02/02  16:00:00,26639728.3,74903521.12,18344809.79,5722056.565,2498728.352,3086733.678,0,98089.71062,18513374.69,18513374.69
 02/02  17:00:00,27797977.36,86878079.99,22132002.26,6903345.977,2845264.53,3864279.866,0,124117.9016,23211092.09,23211092.09
 02/02  18:00:00,30114475.47,127327873.3,29283350.55,9133972.506,3622555.945,24453833.6,0,812256.9339,29907428.13,29907428.13
 02/02  19:00:00,30693600,129253009.8,36634904.16,11427046.47,4687055.576,19209326.2,0,646338.5033,25954738.8,25954738.8
 02/02  20:00:00,28956226.42,119841284.7,38194225.01,11913425.02,5369331.349,15474546.83,0,525165.754,19408364.07,19408364.07
 02/02  21:00:00,27218852.83,104056370.3,32465634.81,10126580.81,5085296.064,12065407.63,0,412164.9027,16682433.07,16682433.07
